PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Fare
180;0;3;male;36;0;0;0
183;0;3;male;9;4;2;313.875
184;1;2;male;1;2;1;39
185;1;3;female;4;0;2;22.025
188;1;1;male;45;0;0;26.55
189;0;3;male;40;1;1;15.5
190;0;3;male;36;0;0;78.958
191;1;2;female;32;0;0;13
192;0;2;male;19;0;0;13
193;1;3;female;19;1;0;78.542
194;1;2;male;3;1;1;26
195;1;1;female;44;0;0;277.208
196;1;1;female;58;0;0;1.465.208
198;0;3;male;42;0;1;84.042
200;0;2;female;24;0;0;13
201;0;3;male;28;0;0;9.5
203;0;3;male;34;0;0;64.958
204;0;3;male;45.5;0;0;7.225
205;1;3;male;18;0;0;8.05
206;0;3;female;2;0;1;104.625
207;0;3;male;32;1;0;15.85
208;1;3;male;26;0;0;187.875
209;1;3;female;16;0;0;7.75
210;1;1;male;40;0;0;31
211;0;3;male;24;0;0;7.05
212;1;2;female;35;0;0;21
213;0;3;male;22;0;0;7.25
214;0;2;male;30;0;0;13
216;1;1;female;31;1;0;113.275
217;1;3;female;27;0;0;7.925
218;0;2;male;42;1;0;27
219;1;1;female;32;0;0;762.917
220;0;2;male;30;0;0;10.5
221;1;3;male;16;0;0;8.05
222;0;2;male;27;0;0;13
223;0;3;male;51;0;0;8.05
225;1;1;male;38;1;0;90
226;0;3;male;22;0;0;9.35
227;1;2;male;19;0;0;10.5
228;0;3;male;20.5;0;0;7.25
229;0;2;male;18;0;0;13
231;1;1;female;35;1;0;83.475
232;0;3;male;29;0;0;7.775
233;0;2;male;59;0;0;13.5
234;1;3;female;5;4;2;313.875
235;0;2;male;24;0;0;10.5
237;0;2;male;44;1;0;26
238;1;2;female;8;0;2;26.25
239;0;2;male;19;0;0;10.5
240;0;2;male;33;0;0;12.275
243;0;2;male;29;0;0;10.5
244;0;3;male;22;0;0;7.125
245;0;3;male;30;0;0;7.225
246;0;1;male;44;2;0;90
247;0;3;female;25;0;0;7.775
248;1;2;female;24;0;2;14.5
249;1;1;male;37;1;1;525.542
250;0;2;male;54;1;0;26
252;0;3;female;29;1;1;104.625
253;0;1;male;62;0;0;26.55
254;0;3;male;30;1;0;16.1
255;0;3;female;41;0;2;202.125
256;1;3;female;29;0;2;152.458
258;1;1;female;30;0;0;86.5
259;1;1;female;35;0;0;5.123.292
260;1;2;female;50;0;1;26
262;1;3;male;3;4;2;313.875
263;0;1;male;52;1;1;79.65
264;0;1;male;40;0;0;0
266;0;2;male;36;0;0;10.5
267;0;3;male;16;4;1;396.875
268;1;3;male;25;1;0;7.775
269;1;1;female;58;0;1;1.534.625
270;1;1;female;35;0;0;1.356.333
272;1;3;male;25;0;0;0
273;1;2;female;41;0;1;19.5
274;0;1;male;37;0;1;29.7
276;1;1;female;63;1;0;779.583
277;0;3;female;45;0;0;7.75
279;0;3;male;7;4;1;29.125
280;1;3;female;35;1;1;20.25
281;0;3;male;65;0;0;7.75
282;0;3;male;28;0;0;78.542
283;0;3;male;16;0;0;9.5
284;1;3;male;19;0;0;8.05
286;0;3;male;33;0;0;86.625
287;1;3;male;30;0;0;9.5
288;0;3;male;22;0;0;78.958
289;1;2;male;42;0;0;13
290;1;3;female;22;0;0;7.75
291;1;1;female;26;0;0;78.85
292;1;1;female;19;1;0;910.792
293;0;2;male;36;0;0;12.875
294;0;3;female;24;0;0;8.85
295;0;3;male;24;0;0;78.958
297;0;3;male;23.5;0;0;72.292
298;0;1;female;2;1;2;151.55
300;1;1;female;50;0;1;2.475.208
303;0;3;male;19;0;0;0
306;1;1;male;0.92;1;2;151.55
308;1;1;female;17;1;0;108.9
309;0;2;male;30;1;0;24
310;1;1;female;30;0;0;569.292
311;1;1;female;24;0;0;831.583
312;1;1;female;18;2;2;262.375
313;0;2;female;26;1;1;26
314;0;3;male;28;0;0;78.958
315;0;2;male;43;1;1;26.25
316;1;3;female;26;0;0;78.542
317;1;2;female;24;1;0;26
318;0;2;male;54;0;0;14
319;1;1;female;31;0;2;1.648.667
320;1;1;female;40;1;1;134.5
321;0;3;male;22;0;0;7.25
322;0;3;male;27;0;0;78.958
323;1;2;female;30;0;0;12.35
324;1;2;female;22;1;1;29
326;1;1;female;36;0;0;1.356.333
327;0;3;male;61;0;0;62.375
328;1;2;female;36;0;0;13
329;1;3;female;31;1;1;20.525
330;1;1;female;16;0;1;579.792
332;0;1;male;45.5;0;0;28.5
333;0;1;male;38;0;1;1.534.625
334;0;3;male;16;2;0;18
337;0;1;male;29;1;0;66.6
338;1;1;female;41;0;0;134.5
339;1;3;male;45;0;0;8.05
340;0;1;male;45;0;0;35.5
341;1;2;male;2;1;1;26
342;1;1;female;24;3;2;263
343;0;2;male;28;0;0;13
344;0;2;male;25;0;0;13
345;0;2;male;36;0;0;13
346;1;2;female;24;0;0;13
347;1;2;female;40;0;0;13
349;1;3;male;3;1;1;15.9
350;0;3;male;42;0;0;86.625
351;0;3;male;23;0;0;9.225
353;0;3;male;15;1;1;72.292
354;0;3;male;25;1;0;17.8
356;0;3;male;28;0;0;9.5
357;1;1;female;22;0;1;55
358;0;2;female;38;0;0;13
361;0;3;male;40;1;4;27.9
362;0;2;male;29;1;0;277.208
363;0;3;female;45;0;1;144.542
364;0;3;male;35;0;0;7.05
366;0;3;male;30;0;0;7.25
367;1;1;female;60;1;0;75.25
370;1;1;female;24;0;0;69.3
371;1;1;male;25;1;0;554.417
372;0;3;male;18;1;0;64.958
373;0;3;male;19;0;0;8.05
374;0;1;male;22;0;0;1.356.333
375;0;3;female;3;3;1;21.075
377;1;3;female;22;0;0;7.25
378;0;1;male;27;0;2;211.5
379;0;3;male;20;0;0;40.125
380;0;3;male;19;0;0;7.775
381;1;1;female;42;0;0;227.525
382;1;3;female;1;0;2;157.417
383;0;3;male;32;0;0;7.925
384;1;1;female;35;1;0;52
386;0;2;male;18;0;0;73.5
387;0;3;male;1;5;2;46.9
388;1;2;female;36;0;0;13
390;1;2;female;17;0;0;12
391;1;1;male;36;1;2;120
392;1;3;male;21;0;0;77.958
393;0;3;male;28;2;0;7.925
394;1;1;female;23;1;0;113.275
395;1;3;female;24;0;2;16.7
396;0;3;male;22;0;0;77.958
397;0;3;female;31;0;0;78.542
398;0;2;male;46;0;0;26
399;0;2;male;23;0;0;10.5
400;1;2;female;28;0;0;12.65
401;1;3;male;39;0;0;7.925
402;0;3;male;26;0;0;8.05
403;0;3;female;21;1;0;9.825
404;0;3;male;28;1;0;15.85
405;0;3;female;20;0;0;86.625
406;0;2;male;34;1;0;21
407;0;3;male;51;0;0;7.75
408;1;2;male;3;1;1;18.75
409;0;3;male;21;0;0;7.775
413;1;1;female;33;1;0;90
415;1;3;male;44;0;0;7.925
417;1;2;female;34;1;1;32.5
418;1;2;female;18;0;2;13
419;0;2;male;30;0;0;13
420;0;3;female;10;0;2;24.15
422;0;3;male;21;0;0;77.333
423;0;3;male;29;0;0;7.875
424;0;3;female;28;1;1;14.4
425;0;3;male;18;1;1;202.125
427;1;2;female;28;1;0;26
428;1;2;female;19;0;0;26
430;1;3;male;32;0;0;8.05
431;1;1;male;28;0;0;26.55
433;1;2;female;42;1;0;26
434;0;3;male;17;0;0;7.125
435;0;1;male;50;1;0;55.9
436;1;1;female;14;1;2;120
437;0;3;female;21;2;2;34.375
438;1;2;female;24;2;3;18.75
439;0;1;male;64;1;4;263
440;0;2;male;31;0;0;10.5
441;1;2;female;45;1;1;26.25
442;0;3;male;20;0;0;9.5
443;0;3;male;25;1;0;7.775
444;1;2;female;28;0;0;13
446;1;1;male;4;0;2;818.583
447;1;2;female;13;0;1;19.5
448;1;1;male;34;0;0;26.55
449;1;3;female;5;2;1;192.583
450;1;1;male;52;0;0;30.5
451;0;2;male;36;1;2;27.75
453;0;1;male;30;0;0;27.75
454;1;1;male;49;1;0;891.042
456;1;3;male;29;0;0;78.958
457;0;1;male;65;0;0;26.55
459;1;2;female;50;0;0;10.5
461;1;1;male;48;0;0;26.55
462;0;3;male;34;0;0;8.05
463;0;1;male;47;0;0;38.5
464;0;2;male;48;0;0;13
466;0;3;male;38;0;0;7.05
468;0;1;male;56;0;0;26.55
470;1;3;female;0.75;2;1;192.583
472;0;3;male;38;0;0;86.625
473;1;2;female;33;1;2;27.75
474;1;2;female;23;0;0;137.917
475;0;3;female;22;0;0;98.375
477;0;2;male;34;1;0;21
478;0;3;male;29;1;0;70.458
479;0;3;male;22;0;0;75.208
480;1;3;female;2;0;1;122.875
481;0;3;male;9;5;2;46.9
483;0;3;male;50;0;0;8.05
484;1;3;female;63;0;0;95.875
485;1;1;male;25;1;0;910.792
487;1;1;female;35;1;0;90
488;0;1;male;58;0;0;29.7
489;0;3;male;30;0;0;8.05
490;1;3;male;9;1;1;15.9
492;0;3;male;21;0;0;7.25
493;0;1;male;55;0;0;30.5
494;0;1;male;71;0;0;495.042
495;0;3;male;21;0;0;8.05
497;1;1;female;54;1;0;782.667
499;0;1;female;25;1;2;151.55
500;0;3;male;24;0;0;77.958
501;0;3;male;17;0;0;86.625
502;0;3;female;21;0;0;7.75
504;0;3;female;37;0;0;95.875
505;1;1;female;16;0;0;86.5
506;0;1;male;18;1;0;108.9
507;1;2;female;33;0;2;26
509;0;3;male;28;0;0;22.525
510;1;3;male;26;0;0;564.958
511;1;3;male;29;0;0;7.75
513;1;1;male;36;0;0;262.875
514;1;1;female;54;1;0;59.4
515;0;3;male;24;0;0;74.958
516;0;1;male;47;0;0;340.208
517;1;2;female;34;0;0;10.5
519;1;2;female;36;1;0;26
520;0;3;male;32;0;0;78.958
521;1;1;female;30;0;0;93.5
522;0;3;male;22;0;0;78.958
524;1;1;female;44;0;1;579.792
526;0;3;male;40.5;0;0;7.75
527;1;2;female;50;0;0;10.5
529;0;3;male;39;0;0;7.925
530;0;2;male;23;2;1;11.5
531;1;2;female;2;1;1;26
533;0;3;male;17;1;1;72.292
535;0;3;female;30;0;0;86.625
536;1;2;female;7;0;2;26.25
537;0;1;male;45;0;0;26.55
538;1;1;female;30;0;0;106.425
540;1;1;female;22;0;2;49.5
541;1;1;female;36;0;2;71
542;0;3;female;9;4;2;31.275
543;0;3;female;11;4;2;31.275
544;1;2;male;32;1;0;26
545;0;1;male;50;1;0;106.425
546;0;1;male;64;0;0;26
547;1;2;female;19;1;0;26
549;0;3;male;33;1;1;20.525
550;1;2;male;8;1;1;36.75
551;1;1;male;17;0;2;1.108.833
552;0;2;male;27;0;0;26
554;1;3;male;22;0;0;7.225
555;1;3;female;22;0;0;7.775
556;0;1;male;62;0;0;26.55
557;1;1;female;48;1;0;39.6
559;1;1;female;39;1;1;79.65
560;1;3;female;36;1;0;17.4
562;0;3;male;40;0;0;78.958
563;0;2;male;28;0;0;13.5
566;0;3;male;24;2;0;24.15
567;0;3;male;19;0;0;78.958
568;0;3;female;29;0;4;21.075
570;1;3;male;32;0;0;78.542
571;1;2;male;62;0;0;10.5
572;1;1;female;53;2;0;514.792
573;1;1;male;36;0;0;263.875
575;0;3;male;16;0;0;8.05
576;0;3;male;19;0;0;14.5
577;1;2;female;34;0;0;13
578;1;1;female;39;1;0;55.9
580;1;3;male;32;0;0;7.925
581;1;2;female;25;1;1;30
582;1;1;female;39;1;1;1.108.833
583;0;2;male;54;0;0;26
584;0;1;male;36;0;0;40.125
586;1;1;female;18;0;2;79.65
587;0;2;male;47;0;0;15
588;1;1;male;60;1;1;79.2
589;0;3;male;22;0;0;8.05
591;0;3;male;35;0;0;7.125
592;1;1;female;52;1;0;782.667
593;0;3;male;47;0;0;7.25
595;0;2;male;37;1;0;26
596;0;3;male;36;1;1;24.15
598;0;3;male;49;0;0;0
600;1;1;male;49;1;0;569.292
601;1;2;female;24;2;1;27
604;0;3;male;44;0;0;8.05
605;1;1;male;35;0;0;26.55
606;0;3;male;36;1;0;15.55
607;0;3;male;30;0;0;78.958
608;1;1;male;27;0;0;30.5
609;1;2;female;22;1;2;415.792
610;1;1;female;40;0;0;1.534.625
611;0;3;female;39;1;5;31.275
615;0;3;male;35;0;0;8.05
616;1;2;female;24;1;2;65
617;0;3;male;34;1;1;14.4
618;0;3;female;26;1;0;16.1
619;1;2;female;4;2;1;39
620;0;2;male;26;0;0;10.5
621;0;3;male;27;1;0;144.542
622;1;1;male;42;1;0;525.542
623;1;3;male;20;1;1;157.417
624;0;3;male;21;0;0;78.542
625;0;3;male;21;0;0;16.1
626;0;1;male;61;0;0;323.208
627;0;2;male;57;0;0;12.35
628;1;1;female;21;0;0;779.583
629;0;3;male;26;0;0;78.958
631;1;1;male;80;0;0;30
632;0;3;male;51;0;0;70.542
633;1;1;male;32;0;0;30.5
635;0;3;female;9;3;2;27.9
636;1;2;female;28;0;0;13
637;0;3;male;32;0;0;7.925
638;0;2;male;31;1;1;26.25
639;0;3;female;41;0;5;396.875
641;0;3;male;20;0;0;78.542
642;1;1;female;24;0;0;69.3
643;0;3;female;2;3;2;27.9
645;1;3;female;0.75;2;1;192.583
646;1;1;male;48;1;0;767.292
647;0;3;male;19;0;0;78.958
648;1;1;male;56;0;0;35.5
650;1;3;female;23;0;0;7.55
652;1;2;female;18;0;1;23
653;0;3;male;21;0;0;84.333
655;0;3;female;18;0;0;6.75
656;0;2;male;24;2;0;73.5
658;0;3;female;32;1;1;15.5
659;0;2;male;23;0;0;13
660;0;1;male;58;0;2;113.275
661;1;1;male;50;2;0;133.65
662;0;3;male;40;0;0;7.225
663;0;1;male;47;0;0;255.875
664;0;3;male;36;0;0;74.958
665;1;3;male;20;1;0;7.925
666;0;2;male;32;2;0;73.5
667;0;2;male;25;0;0;13
669;0;3;male;43;0;0;8.05
671;1;2;female;40;1;1;39
672;0;1;male;31;1;0;52
673;0;2;male;70;0;0;10.5
674;1;2;male;31;0;0;13
676;0;3;male;18;0;0;7.775
677;0;3;male;24.5;0;0;8.05
678;1;3;female;18;0;0;98.417
679;0;3;female;43;1;6;46.9
680;1;1;male;36;0;1;5.123.292
682;1;1;male;27;0;0;767.292
683;0;3;male;20;0;0;9.225
684;0;3;male;14;5;2;46.9
685;0;2;male;60;1;1;39
686;0;2;male;25;1;2;415.792
687;0;3;male;14;4;1;396.875
688;0;3;male;19;0;0;101.708
689;0;3;male;18;0;0;77.958
690;1;1;female;15;0;1;2.113.375
691;1;1;male;31;1;0;57
692;1;3;female;4;0;1;134.167
694;0;3;male;25;0;0;7.225
695;0;1;male;60;0;0;26.55
696;0;2;male;52;0;0;13.5
697;0;3;male;44;0;0;8.05
699;0;1;male;49;1;1;1.108.833
700;0;3;male;42;0;0;7.65
701;1;1;female;18;1;0;227.525
702;1;1;male;35;0;0;262.875
703;0;3;female;18;0;1;144.542
704;0;3;male;25;0;0;77.417
705;0;3;male;26;1;0;78.542
706;0;2;male;39;0;0;26
707;1;2;female;45;0;0;13.5
708;1;1;male;42;0;0;262.875
709;1;1;female;22;0;0;151.55
711;1;1;female;24;0;0;495.042
713;1;1;male;48;1;0;52
714;0;3;male;29;0;0;94.833
715;0;2;male;52;0;0;13
716;0;3;male;19;0;0;7.65
717;1;1;female;38;0;0;227.525
718;1;2;female;27;0;0;10.5
720;0;3;male;33;0;0;7.775
721;1;2;female;6;0;1;33
722;0;3;male;17;1;0;70.542
723;0;2;male;34;0;0;13
724;0;2;male;50;0;0;13
725;1;1;male;27;1;0;53.1
726;0;3;male;20;0;0;86.625
727;1;2;female;30;3;0;21
729;0;2;male;25;1;0;26
730;0;3;female;25;1;0;7.925
731;1;1;female;29;0;0;2.113.375
732;0;3;male;11;0;0;187.875
734;0;2;male;23;0;0;13
735;0;2;male;23;0;0;13
736;0;3;male;28.5;0;0;16.1
737;0;3;female;48;1;3;34.375
738;1;1;male;35;0;0;5.123.292
742;0;1;male;36;1;0;78.85
743;1;1;female;21;2;2;262.375
744;0;3;male;24;1;0;16.1
745;1;3;male;31;0;0;7.925
746;0;1;male;70;1;1;71
747;0;3;male;16;1;1;20.25
748;1;2;female;30;0;0;13
749;0;1;male;19;1;0;53.1
750;0;3;male;31;0;0;7.75
751;1;2;female;4;1;1;23
752;1;3;male;6;0;1;12.475
753;0;3;male;33;0;0;9.5
754;0;3;male;23;0;0;78.958
755;1;2;female;48;1;2;65
756;1;2;male;0.67;1;1;14.5
757;0;3;male;28;0;0;77.958
758;0;2;male;18;0;0;11.5
759;0;3;male;34;0;0;8.05
760;1;1;female;33;0;0;86.5
762;0;3;male;41;0;0;7.125
763;1;3;male;20;0;0;72.292
764;1;1;female;36;1;2;120
765;0;3;male;16;0;0;7.775
766;1;1;female;51;1;0;779.583
768;0;3;female;30.5;0;0;7.75
770;0;3;male;32;0;0;83.625
771;0;3;male;24;0;0;9.5
772;0;3;male;48;0;0;78.542
773;0;2;female;57;0;0;10.5
775;1;2;female;54;1;3;23
776;0;3;male;18;0;0;7.75
778;1;3;female;5;0;0;12.475
780;1;1;female;43;0;1;2.113.375
781;1;3;female;13;0;0;72.292
782;1;1;female;17;1;0;57
783;0;1;male;29;0;0;30
785;0;3;male;25;0;0;7.05
786;0;3;male;25;0;0;7.25
787;1;3;female;18;0;0;74.958
788;0;3;male;8;4;1;29.125
789;1;3;male;1;1;2;20.575
790;0;1;male;46;0;0;79.2
792;0;2;male;16;0;0;26
795;0;3;male;25;0;0;78.958
796;0;2;male;39;0;0;13
797;1;1;female;49;0;0;259.292
798;1;3;female;31;0;0;86.833
799;0;3;male;30;0;0;72.292
800;0;3;female;30;1;1;24.15
801;0;2;male;34;0;0;13
802;1;2;female;31;1;1;26.25
803;1;1;male;11;1;2;120
804;1;3;male;0.42;0;1;85.167
805;1;3;male;27;0;0;6.975
806;0;3;male;31;0;0;7.775
807;0;1;male;39;0;0;0
808;0;3;female;18;0;0;7.775
809;0;2;male;39;0;0;13
810;1;1;female;33;1;0;53.1
811;0;3;male;26;0;0;78.875
812;0;3;male;39;0;0;24.15
813;0;2;male;35;0;0;10.5
814;0;3;female;6;4;2;31.275
815;0;3;male;30.5;0;0;8.05
817;0;3;female;23;0;0;7.925
818;0;2;male;31;1;1;370.042
819;0;3;male;43;0;0;6.45
820;0;3;male;10;3;2;27.9
821;1;1;female;52;1;1;93.5
822;1;3;male;27;0;0;86.625
823;0;1;male;38;0;0;0
824;1;3;female;27;0;1;12.475
825;0;3;male;2;4;1;396.875
828;1;2;male;1;0;2;370.042
830;1;1;female;62;0;0;80
831;1;3;female;15;1;0;144.542
832;1;2;male;0.83;1;1;18.75
834;0;3;male;23;0;0;78.542
835;0;3;male;18;0;0;8.3
836;1;1;female;39;1;1;831.583
837;0;3;male;21;0;0;86.625
839;1;3;male;32;0;0;564.958
841;0;3;male;20;0;0;7.925
842;0;2;male;16;0;0;10.5
843;1;1;female;30;0;0;31
844;0;3;male;34.5;0;0;64.375
845;0;3;male;17;0;0;86.625
846;0;3;male;42;0;0;7.55
848;0;3;male;35;0;0;78.958
849;0;2;male;28;0;1;33
851;0;3;male;4;4;2;31.275
852;0;3;male;74;0;0;7.775
